"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"93","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","8",175,"YR"
"94","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","9",175,"YR"
"95","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","10",175,"YR"
"96","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_CTL","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"CTL","11",175,"YR"
"97","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","1",169,"YR"
"98","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","2",175,"YR"
"99","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","3",175,"YR"
"100","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","4",175,"YR"
"101","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","5",175,"YR"
"102","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","6",174,"YR"
"103","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","7",177,"YR"
