Site:Subsite,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Niwot Ridge_Itexnutsnow,-1.97342,0.786456,-3.61636,-0.44657,End of Flowering ,111
Niwot Ridge_Sadsnfc,-1.96139,0.741406,-3.48057,-0.48094,End of Flowering ,209
Niwot Ridge_Audobon,0.797703,0.535293,-0.28408,1.873455,Leaf Senescence ,42
Niwot Ridge_EK,0.844557,0.672371,-0.48201,2.330459,Leaf Senescence,143
Niwot Ridge_Lefty,0.766722,0.548098,-0.40606,1.84497,Leaf Senescence ,140
Niwot Ridge_Trough,0.624938,0.926925,-1.44648,2.391472,Leaf Senescence ,81
Toolik Lake_Dry,-0.88133,0.681138,-2.40551,0.374448,Green up,152
Toolik Lake_Moist,-0.83336,0.619422,-2.18391,0.296278,Green up,252
Toolik Lake _Snowfield,-0.6573,0.602124,-1.96105,0.492654,Green up,461
Toolik Lake_Dry,-2.70053,0.786712,-4.3884,-1.2844,Flowering,172
Toolik Lake_Moist,-2.41618,0.774867,-3.98786,-0.89106,Flowering,236
Toolik Lake _Snowfield,-2.29545,0.757202,-3.86253,-0.84885,Flowering,525
Toolik Lake_Dry,-1.97766,0.76145,-3.52671,-0.4779,End of Flowering ,146
Toolik Lake_Moist,-1.98997,0.762205,-3.55981,-0.48676,End of Flowering ,133
Toolik Lake _Snowfield,-2.01235,0.703036,-3.46241,-0.65002,End of Flowering ,323
Toolik Lake_Dry,-2.91076,1.967026,-6.916,1.110306,Seed Dispersal,71
Toolik Lake_Moist,-2.87064,1.650782,-6.18461,0.368014,Seed Dispersal,104
Toolik Lake _Snowfield,-2.80865,1.680271,-6.17542,0.59606,Seed Dispersal,172
Toolik Lake_Dry,0.808006,0.510308,-0.25278,1.876223,Leaf Senescence ,196
Toolik Lake_Moist,0.789857,0.475777,-0.20064,1.746432,Leaf Senescence ,328
Toolik Lake _Snowfield,0.842396,0.463531,-0.06852,1.828873,Leaf Senescence ,559
Val Bercla _ITEX,-2.44643,0.814257,-4.12685,-0.88172,Flowering,158
Val Bercla _ITEX,-2.00829,0.785218,-3.69319,-0.46345,End of Flowering ,127
White Mts_3100,-2.57673,0.871373,-4.41861,-0.90849,Flowering,18
