Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Atqasuk_2007,-0.72754,0.538556,-1.88733,0.260039,Green up,117
Atqasuk_2007,-2.42032,0.650693,-3.77736,-1.20771,Flowering,432
Atqasuk_2007,-1.98904,0.616241,-3.26109,-0.80817,End of Flowering,427
Atqasuk_2007,-2.65005,1.920179,-6.69955,0.937338,Fruiting,275
Atqasuk_2007,-3.02304,1.518376,-6.13595,-0.08373,Seed Dispersal,55
Atqasuk_2007,0.804224,0.444495,-0.09434,1.685796,Leaf Senescence,48
Atqasuk_2008,-0.69346,0.538278,-1.86145,0.283788,Green up,1405
Atqasuk_2008,-2.41426,0.653774,-3.79443,-1.18914,Flowering,399
Atqasuk_2008,-2.00778,0.622781,-3.30076,-0.77891,End of Flowering,420
Atqasuk_2008,-2.51183,1.911755,-6.47351,1.092725,Fruiting,339
Atqasuk_2008,-2.89612,1.491535,-5.89785,0.058889,Seed Dispersal,186
Atqasuk_2008,0.701582,0.455267,-0.24801,1.571125,Leaf Senescence,176
Atqasuk_2010,-0.76541,0.551344,-1.98031,0.231709,Green up,116
Atqasuk_2010,-2.47832,0.653885,-3.8634,-1.27446,Flowering,367
Atqasuk_2010,-1.93603,0.638628,-3.21277,-0.65191,End of Flowering,384
Atqasuk_2010,-2.95838,1.974077,-7.1397,0.795248,Fruiting,188
Atqasuk_2010,-2.96328,1.528389,-6.02803,0.007994,Seed Dispersal,38
Atqasuk_2010,0.801946,0.449704,-0.08822,1.700455,Leaf Senescence,213
Atqasuk_2011,-0.70878,0.540944,-1.87565,0.326857,Green up,108
Atqasuk_2011,-2.42449,0.647182,-3.78906,-1.23056,Flowering,348
Atqasuk_2011,-1.97875,0.6187,-3.25388,-0.76425,End of Flowering,338
Atqasuk_2011,-2.50106,1.912791,-6.5652,1.142436,Fruiting,286
Atqasuk_2011,-2.93595,1.500493,-5.98958,0.007008,Seed Dispersal,53
Atqasuk_2011,0.601438,0.50975,-0.49887,1.546839,Leaf Senescence,233
Atqasuk_2012,-0.70919,0.544752,-1.87634,0.312337,Green up,123
Atqasuk_2012,-2.41603,0.652328,-3.78003,-1.18558,Flowering,287
Atqasuk_2012,-1.99604,0.626785,-3.283,-0.75896,End of Flowering,373
Atqasuk_2012,-2.29677,1.916681,-6.2918,1.306061,Fruiting,386
Atqasuk_2012,-2.90699,1.488371,-5.9005,-0.04969,Seed Dispersal,308
Atqasuk_2012,0.722197,0.457028,-0.21993,1.597365,Leaf Senescence,182
Atqasuk_2013,-0.73752,0.549401,-1.93869,0.262765,Green up,103
Atqasuk_2013,-2.38827,0.663759,-3.77302,-1.13978,Flowering,328
Atqasuk_2013,-1.97687,0.624933,-3.22702,-0.73636,End of Flowering,300
Atqasuk_2013,-2.45103,1.913024,-6.46794,1.135453,Fruiting,392
Atqasuk_2013,-2.83428,1.488853,-5.80474,0.151077,Seed Dispersal,325
Atqasuk_2013,0.640461,0.468938,-0.36717,1.505394,Leaf Senescence,347
Atqasuk_2014,-0.71666,0.544161,-1.88524,0.307786,Green up,125
Atqasuk_2014,-2.4791,0.653358,-3.85387,-1.27494,Flowering,437
Atqasuk_2014,-1.9783,0.617983,-3.27366,-0.74736,End of Flowering,425
Atqasuk_2014,-2.57269,1.910711,-6.65935,1.00305,Fruiting,357
Atqasuk_2014,-2.85658,1.490449,-5.82841,0.087793,Seed Dispersal,228
Atqasuk_2014,0.803182,0.44366,-0.09263,1.676511,Leaf Senescence,165
Atqasuk_2015,-0.7836,0.618395,-2.13247,0.341921,Green up,148
Atqasuk_2015,-2.3735,0.659111,-3.74308,-1.14533,Flowering,318
Atqasuk_2015,-2.01958,0.630565,-3.32554,-0.78661,End of Flowering,370
Atqasuk_2015,-2.28812,1.926009,-6.31645,1.359552,Fruiting,305
Atqasuk_2015,-2.73358,1.504782,-5.74875,0.324313,Seed Dispersal,230
Atqasuk_2015,0.989601,0.546366,-0.02105,2.182893,Leaf Senescence,157
Atqasuk_2016,-0.73484,0.546759,-1.92223,0.281818,Green up,141
Atqasuk_2016,-2.37378,0.661774,-3.73583,-1.1353,Flowering,366
Atqasuk_2016,-2.00089,0.635968,-3.30703,-0.75733,End of Flowering,416
Atqasuk_2016,-2.33996,1.924201,-6.36679,1.322036,Fruiting,327
Atqasuk_2016,-2.73508,1.504141,-5.74088,0.252301,Seed Dispersal,303
Atqasuk_2016,0.725698,0.435015,-0.15882,1.562768,Leaf Senescence,511
Atqasuk_2017,-0.72005,0.533455,-1.87233,0.283635,Green up,145
Atqasuk_2017,-2.41751,0.650838,-3.78157,-1.19636,Flowering,336
Atqasuk_2017,-1.99285,0.622763,-3.30327,-0.77144,End of Flowering,363
Atqasuk_2017,-2.47394,1.911941,-6.44111,1.125148,Fruiting,323
Atqasuk_2017,-2.95981,1.48696,-5.95191,-0.03184,Seed Dispersal,204
