Genus,Species,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Minuartia,obtusiloba,-2.78557,1.956054,-6.9446,0.877281,Fruiting,76
Minuartia,obtusiloba,0.841323,0.617753,-0.36617,2.175,Leaf Senescence,29
Nardus,stricta,-2.92893,0.947291,-5.01109,-1.17953,Flowering,7
Nardus,stricta,-1.874221,0.6655567,-3.190275,-0.5098375,End of Flowering,5
Oxyria,digyna,-0.80198,0.559814,-2.01434,0.226845,Green up,837
Oxyria,digyna,-2.3724,0.821358,-4.11732,-0.84372,Flowering,555
Oxyria,digyna,-1.973765,0.7112454,-3.435637,-0.5866112,End of Flowering,197
Oxyria,digyna,-2.39191,1.93634,-6.4768,1.227187,Fruiting,520
Oxyria,digyna,-3.05021,1.538854,-6.20081,-0.03562,Seed Dispersal,464
Oxyria,digyna,0.629128,0.592608,-0.67474,1.718523,Leaf Senescence,427
Papaver,lapponicum,-1.88316,0.867466,-3.62548,-0.20172,Flowering,260
Papaver,lapponicum,-1.945392,0.6585871,-3.333251,-0.6376991,End of Flowering,239
Papaver,lapponicum,-2.49347,1.933449,-6.54157,1.14111,Fruiting,120
Papaver,lapponicum,-2.8397,1.562045,-5.92653,0.345898,Seed Dispersal,86
Papaver,radicatum,-0.81097,0.548656,-1.99817,0.192809,Green up,1059
Papaver,radicatum,-2.53923,0.776879,-4.1651,-1.09957,Flowering,972
Papaver,radicatum,-1.988771,0.6516652,-3.373738,-0.7436198,End of Flowering,779
Papaver,radicatum,-2.66701,1.912696,-6.73571,0.909075,Fruiting,925
Papaver,radicatum,0.54865,0.673566,-0.94649,1.755896,Leaf Senescence,653
Pedicularis,hirsuta,-0.76804,0.537168,-1.93373,0.197599,Green up,32
Pedicularis,hirsuta,-2.43793,0.87006,-4.22307,-0.75418,Flowering,29
Pedicularis,hirsuta,-1.851086,0.6626623,-3.192237,-0.4956699,End of Flowering,33
Pedicularis,hirsuta,-2.90213,1.594411,-6.06239,0.326396,Seed Dispersal,29
Pedicularis,lanata,-2.02642,0.829874,-3.71694,-0.39869,Flowering,137
Pedicularis,lanata,-1.730102,0.7274446,-3.105769,-0.1824483,End of Flowering,137
Pedicularis,lanata,-2.55942,1.933214,-6.62745,1.06547,Fruiting,95
Pedicularis,lanata,-2.85642,1.586493,-6.03151,0.386923,Seed Dispersal,31
Pedicularis,sudetica,-0.74455,0.525731,-1.89266,0.214456,Green up,273
Pedicularis,sudetica,-2.80351,0.872851,-4.70955,-1.24598,Flowering,124
Pedicularis,sudetica,-1.949492,0.661123,-3.323398,-0.6737944,End of Flowering,123
Pedicularis,sudetica,-2.79507,1.955759,-6.93756,0.86762,Fruiting,82
Pedicularis,sudetica,-2.93315,1.571183,-6.09653,0.151506,Seed Dispersal,34
Pedicularis,sudetica,0.679674,0.570677,-0.60332,1.747153,Leaf Senescence,154
Pedicularis,verticillata,-2.64371,0.892962,-4.56945,-0.97075,Flowering,8
Pedicularis,verticillata,-1.956769,0.7289399,-3.482626,-0.5349325,End of Flowering,8
Persicaria,bistorta,-2.66735,0.830134,-4.35926,-1.05329,Flowering,357
Persicaria,bistorta,-1.866179,0.6562196,-3.180132,-0.5285258,End of Flowering,323
Persicaria,bistorta,-2.78528,1.988644,-6.95586,0.877458,Fruiting,45
Persicaria,bistorta,-3.0168,1.547291,-6.15299,0.031952,Seed Dispersal,36
Persicaria,vivipara,-2.35744,0.834951,-3.97707,-0.6424,Flowering,321
Persicaria,vivipara,-1.951023,0.7307602,-3.464706,-0.4970292,End of Flowering,75
Persicaria,vivipara,-2.77115,2.000927,-6.89032,0.946466,Fruiting,43
Persicaria,vivipara,-2.85921,1.56608,-5.98846,0.30895,Seed Dispersal,78
Petasites,frigidus,-0.64028,0.63844,-2.01376,0.608298,Green up,201
Petasites,frigidus,-2.0897,0.874552,-3.84693,-0.31828,Flowering,17
Petasites,frigidus,0.877999,0.634008,-0.33612,2.264288,Leaf Senescence,60
Poa,arctica,-0.69952,0.530569,-1.83214,0.259939,Green up,1212
Poa,arctica,-2.48457,0.796941,-4.1263,-0.95849,Flowering,924
Poa,arctica,-1.970023,0.6898253,-3.410444,-0.6080965,End of Flowering,545
Poa,arctica,-2.86532,2.03926,-7.11031,0.921619,Fruiting,63
Poa,arctica,-2.87001,1.565334,-5.99457,0.243222,Seed Dispersal,35
Poa,arctica,0.81634,0.53621,-0.25025,1.954557,Leaf Senescence,523
Potentilla,diversifolia,-1.87619,0.6910789,-3.287202,-0.4554237,End of Flowering,6
Potentilla,hyparctica,-0.75804,0.525632,-1.9077,0.20518,Green up,868
Potentilla,hyparctica,-3.00904,0.986557,-5.2792,-1.41906,Flowering,776
Potentilla,hyparctica,-1.95647,0.6815804,-3.398656,-0.6642926,End of Flowering,646
Potentilla,hyparctica,-2.50661,1.926783,-6.62711,1.12675,Fruiting,489
Potentilla,hyparctica,-2.83331,1.536484,-5.88057,0.226104,Seed Dispersal,335
Potentilla,hyparctica,0.589193,0.582906,-0.73066,1.61226,Leaf Senescence,522
Pyrola,grandiflora,-0.74201,0.529086,-1.88681,0.220661,Green up,49
Pyrola,grandiflora,0.776533,0.534501,-0.33621,1.85039,Leaf Senescence,68
Ranunculus,acris,-2.21579,0.894201,-4.03635,-0.42007,Flowering,66
Ranunculus,acris,-1.851988,0.6681901,-3.203638,-0.4709915,End of Flowering,66
Ranunculus,nivalis,-0.68874,0.538966,-1.83885,0.302914,Green up,104
Ranunculus,nivalis,-1.7742,0.900556,-3.50013,0.046976,Flowering,111
Ranunculus,nivalis,-1.766041,0.7391505,-3.206029,-0.1869355,End of Flowering,102
Ranunculus,nivalis,-2.40526,1.950173,-6.50086,1.292953,Fruiting,54
Ranunculus,nivalis,-2.83042,1.602325,-5.99189,0.404778,Seed Dispersal,78
Ranunculus,nivalis,0.7524,0.553485,-0.42683,1.841073,Leaf Senescence,102
Ranunculus,pygmaeus,-0.70108,0.540151,-1.85943,0.287267,Green up,49
Ranunculus,pygmaeus,-2.30024,0.863034,-4.09423,-0.60775,Flowering,33
Rubus,chamaemorus,-0.68189,0.590238,-1.95366,0.438664,Green up,174
Rubus,chamaemorus,-2.5577,0.84431,-4.35155,-0.96897,Flowering,65
Rubus,chamaemorus,-1.836043,0.675937,-3.188388,-0.4381034,End of Flowering,65
Rubus,chamaemorus,0.729777,0.549423,-0.41201,1.823506,Leaf Senescence,214
Salix,arctica,-0.77753,0.541783,-1.92605,0.227735,Green up,1741
Salix,arctica,-1.95555,0.828988,-3.56972,-0.22342,Flowering,684
Salix,arctica,-1.738898,0.6809554,-3.029415,-0.2876752,End of Flowering,393
Salix,arctica,-2.38301,1.948358,-6.48742,1.36503,Fruiting,334
Salix,arctica,-2.73348,1.576827,-5.82589,0.523323,Seed Dispersal,129
Salix,arctica,0.755437,0.555875,-0.41249,1.89485,Leaf Senescence,432
Salix,glauca,-0.73419,0.546934,-1.91878,0.262988,Green up,32
Salix,glauca,-2.48389,0.874798,-4.33558,-0.81613,Flowering,12
