"","subsite","year","treatment","spp","phen_stage","ct","ct_na","site_name"
"133","GAVIAPASS.SALIX.MC",2014,"CTL","VERALP","initiated_fruits",3,0,"GAVIAPASS"
"134","GAVIAPASS.SALIX.MC",2014,"CTL","VERALP","seed_dispersal",3,3,"GAVIAPASS"
"135","GAVIAPASS.SALIX.MC",2014,"CTL","VERALP","unopened_buds",3,0,"GAVIAPASS"
"136","GAVIAPASS.SALIX.MC",2014,"OTC","CARALP","anthesis",27,1,"GAVIAPASS"
"137","GAVIAPASS.SALIX.MC",2014,"OTC","CARALP","expanding_fruits",27,0,"GAVIAPASS"
"138","GAVIAPASS.SALIX.MC",2014,"OTC","CARALP","initiated_fruits",27,15,"GAVIAPASS"
"139","GAVIAPASS.SALIX.MC",2014,"OTC","CARALP","seed_dispersal",27,0,"GAVIAPASS"
"140","GAVIAPASS.SALIX.MC",2014,"OTC","CARALP","unopened_buds",27,0,"GAVIAPASS"
"141","GAVIAPASS.SALIX.MC",2014,"OTC","LEUALP","anthesis",33,0,"GAVIAPASS"
"142","GAVIAPASS.SALIX.MC",2014,"OTC","LEUALP","expanding_fruits",33,0,"GAVIAPASS"
"143","GAVIAPASS.SALIX.MC",2014,"OTC","LEUALP","initiated_fruits",33,1,"GAVIAPASS"
"144","GAVIAPASS.SALIX.MC",2014,"OTC","LEUALP","seed_dispersal",33,2,"GAVIAPASS"
"145","GAVIAPASS.SALIX.MC",2014,"OTC","LEUALP","unopened_buds",33,4,"GAVIAPASS"
"146","GAVIAPASS.SALIX.MC",2014,"OTC","VERALP","anthesis",19,6,"GAVIAPASS"
"147","GAVIAPASS.SALIX.MC",2014,"OTC","VERALP","expanding_fruits",19,0,"GAVIAPASS"
"148","GAVIAPASS.SALIX.MC",2014,"OTC","VERALP","initiated_fruits",19,0,"GAVIAPASS"
"149","GAVIAPASS.SALIX.MC",2014,"OTC","VERALP","seed_dispersal",19,12,"GAVIAPASS"
"150","GAVIAPASS.SALIX.MC",2014,"OTC","VERALP","unopened_buds",19,0,"GAVIAPASS"
