subsite,phen_stage,definition,individual_or_plot,plot_aggregation,phen_stage_standardized,simple_phen,comments?
ALEXFIORD.MEADOW.GH,cap_l,last day a capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.MEADOW.GH,catkin_imm,first day an immature catkin was observed,individual,,CKIM,Flower,
ALEXFIORD.MEADOW.GH,female_swell,First day female catkins are swelling,individual,,FIFR,Fruit,
ALEXFIORD.MEADOW.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.MEADOW.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.MEADOW.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,fl_bud_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.MEADOW.GH,fl_bud_l,last day flower buds were observed,individual,,LPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.MEADOW.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.MEADOW.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,fl_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,fl_sen_l,last day a senescing flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,lv_bbk,first day a leaf bud break was observed,individual,,FL,Green,
ALEXFIORD.MEADOW.GH,lv_exp,first day an expanded leaf was observed,individual,,FL,Green,
ALEXFIORD.MEADOW.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.MEADOW.GH,lv_new, first day a new leaf was observed,individual,,FL,Green,
ALEXFIORD.MEADOW.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.MEADOW.GH,male_fl_sen,First day male catkins are senescing; pollen is dried up.,individual,,FPE,FlowerEnd,
ALEXFIORD.MEADOW.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.SAXOPP.GH,cap_deh,first day a dehiscing capsule was observed,individual,,SD,Disperse,
ALEXFIORD.SAXOPP.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.SAXOPP.GH,cap_mat_f,first day an mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.SAXOPP.GH,cap_ripe_f,first day that a mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.SAXOPP.GH,cap_ripe_l,last day that a mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.SAXOPP.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.SAXOPP.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.SAXOPP.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.SAXOPP.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.SAXOPP.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.SAXOPP.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.SAXOPP.GH,fl_open_f,first day an open flower was observed,individual,,FO_Saxopp,Flower,"measured mature and open  in some years, sometimes dates were different but more data for mature so we used fl_mat as FO "
ALEXFIORD.SAXOPP.GH,pd_elon_f,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.SAXOPP.GH,pt_fall_f,first day petals begin to fall from the inflorencence,individual,,FPE,FlowerEnd,"measured sen and fall in some years, sometimes dates were different but more data for sen so we used pt_sen as FPE "
ALEXFIORD.SAXOPP.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.SAXOPP.GH,pt_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.SAXOPP.GH,veg_bbk,first day vegetative bud break (green) was observed ,individual,,FL,Green,
ALEXFIORD.WILLOW.GH,aborted,First day that an aborted flower is observed.  Characterized by a small dense half sphere of white fluff in senesced flower,individual,,ABO,Flower,
ALEXFIORD.WILLOW.GH,cap_f,first day that a capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.WILLOW.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.WILLOW.GH,cap_imm_l,last day an immature capsule was observed,individual,,LIFR,Fruit,
ALEXFIORD.WILLOW.GH,cap_l,last day a capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.WILLOW.GH,cap_mat_f,first day an mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.WILLOW.GH,cap_mat_l,last day an mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.WILLOW.GH,catkin_imm,first day an immature catkin was observed,individual,,CKIM,Flower,
ALEXFIORD.WILLOW.GH,elo_f,first day stalk elongation is observed,individual,,FELO,Flower,
ALEXFIORD.WILLOW.GH,elo_l,last day stalk elongation is observed,individual,,LELO,Flower,
ALEXFIORD.WILLOW.GH,female_swell,First day female catkins are swelling,individual,,FIFR,Fruit,
ALEXFIORD.WILLOW.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_bud_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,fl_bud_l,last day flower buds were observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_elo_f,first day an elongating bud was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,fl_elo_l,last day an elongating bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.WILLOW.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.WILLOW.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,fl_sen_l,last day a senescing flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,flbd_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.WILLOW.GH,flbd_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,lv_bbk,first day a leaf bud break was observed,individual,,FL,Green,
ALEXFIORD.WILLOW.GH,lv_exp,first day an expanded leaf was observed,individual,,FL,Green,
ALEXFIORD.WILLOW.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.WILLOW.GH,lv_mat /sen,"2007-2009 (and beyond); due to difficulties distinguishing between mature and senescing leaves, these two columns were combined in 2007 and encompass all leaves that are beyond the 'new' stage.",individual,,EILS,Green,
ALEXFIORD.WILLOW.GH,lv_new, first day a new leaf was observed,individual,,FL,Green,
ALEXFIORD.WILLOW.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.WILLOW.GH,male_fl_sen,First day male catkins are senescing; pollen is dried up.,individual,,FPE,FlowerEnd,
ALEXFIORD.WILLOW.GH,poll_f,first day visible pollen is observed,individual,,FO,Flower,
ALEXFIORD.WILLOW.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.WILLOW.GH,sd_fall,first day seeds begin to fall from the inflorencence,individual,,SD,Disperse,
ALEXFIORD.WILLOW.GH,sd_set_f,first day developed seeds are observed,individual,,FFR,Fruit,
ALEXFIORD.WILLOW.GH,sd_set_l,last day developed seeds are observed,individual,,LFR,Fruit,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Breaking leaf buds,,individual,,EBBK,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Breaking needle buds (conifers),,individual,,EBBK,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Colored leaves,,individual,,AS,Senesce,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Flowers or flower buds,,individual,,EOF,FlowerEnd,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Fruits,,individual,,LFR,Fruit,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Increasing leaf size,,individual,,EILS,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Leaves,,individual,,ALE,Senesce,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Open flowers,,individual,,EOF,FlowerEnd,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Ripe fruits,,individual,,LFR,Fruit,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,end of Young needles (conifers),,individual,,EILS,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Breaking leaf buds,,individual,,FLB,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Breaking needle buds (conifers),,individual,,FLB,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Colored leaves,,individual,,FC,Senesce,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Flowers or flower buds,,individual,,FF,Flower,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Fruits,,individual,,FIFR,Fruit,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Increasing leaf size,,individual,,ILS,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Leaves,,individual,,FL,Green,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Open flowers,,individual,,FO,Flower,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Ripe fruits,,individual,,FFR,Fruit,
ATIGUN_GORGE_ACCESS_ROAD.NPN.ANWR,start of Young needles (conifers),,individual,,ILS,Green,
ATQASUK.AD.RH,Bb_TP,Bulbil visible,plot,min,BV,Fruit,
ATQASUK.AD.RH,Bu_IN,flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AD.RH,Bu_IN_F,female flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AD.RH,Bu_IN_M,male flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AD.RH,Bu_TP,flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AD.RH,Bu_TP_F,female flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AD.RH,Bu_TP_M,male flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AD.RH,Fl_IN,flower open (individual); anthers visible if graminoid,individual,,FO,Flower,
ATQASUK.AD.RH,Fl_IN_F,female flower open (individual),individual,,FO,Flower,
ATQASUK.AD.RH,Fl_IN_M,male flower open (individual),individual,,FO,Flower,
ATQASUK.AD.RH,Fl_TP,flower open (plot); anthers visible if graminoid,plot,min,FO,Flower,
ATQASUK.AD.RH,Fl_TP_F,female flower open (plot),plot,min,FO,Flower,
ATQASUK.AD.RH,Fl_TP_M,male flower open (plot),plot,min,FO,Flower,
ATQASUK.AD.RH,FW_IN,first flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AD.RH,FW_IN_F,first female flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AD.RH,FW_IN_M,first male flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AD.RH,FW_TP,first flower withering (total plot),plot,min,FPE,FlowerEnd,
ATQASUK.AD.RH,FW_TP_F,first female flower withering (total plot),plot,,FPE,FlowerEnd,
ATQASUK.AD.RH,FW_TP_M,first male flower withering (total plot),plot,,FPE,FlowerEnd,
ATQASUK.AD.RH,In_IN,Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AD.RH,In_IN_F,Female Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AD.RH,In_IN_M,Male Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AD.RH,In_TP,Inflorescence emergence (total plot first),plot,min,FIN,Flower,
ATQASUK.AD.RH,In_TP_F,Female Inflorescence emergence(total plot),plot,min,FIN,Flower,
ATQASUK.AD.RH,In_TP_M,Male Inflorescence emergence(total plot),plot,min,FIN,Flower,
ATQASUK.AD.RH,Le_IN,Leaf bud burst (individual plant),individual,,FL,Green,
ATQASUK.AD.RH,Le_IN_F,Female plant Leaf bud burst (individual first),individual,NA,FL,Green,
ATQASUK.AD.RH,Le_IN_M,Male plant Leaf bud burst (individual first),individual,NA,FL,Green,
ATQASUK.AD.RH,Le_TP,Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AD.RH,Le_TP_F,Female plant Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AD.RH,Le_TP_M,Male plant Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AD.RH,LW_IN,first visible Leaf Senescence (individual),individual,min,FC,Senesce,
ATQASUK.AD.RH,LW_IN_F,first visible Leaf Senescence (individual female),individual,,FC,Senesce,
ATQASUK.AD.RH,LW_IN_M,first visible Leaf Senescence (individual male),individual,,FC,Senesce,
ATQASUK.AD.RH,LW_TP,first visible Leaf Senescence (plot),plot,min,FC,Senesce,
ATQASUK.AD.RH,LW_TP_F,first visible Leaf Senescence (total plot  female),plot,min,FC,Senesce,
ATQASUK.AD.RH,LW_TP_M,first visible Leaf Senescence (total plot  male),plot,min,FC,Senesce,
ATQASUK.AD.RH,SD_IN,first seed dispersal (individual),individual,,SD,Disperse,
ATQASUK.AD.RH,SD_IN_F,first seed dispersal (individual),individual,,SD,Disperse,
ATQASUK.AD.RH,SD_TP,first seed dispersal (total plot),plot,min,SD,Disperse,
ATQASUK.AD.RH,SD_TP_F,first seed dispersal (total plot),plot,min,SD,Disperse,
ATQASUK.AD.RH,St_IN,stigma visible,individual,,SV,Flower,
ATQASUK.AD.RH,St_TP,stigma visible,plot,min,SV,Flower,
ATQASUK.AD.RH,SV_IN,first seed development (individual),individual,,FFR,Fruit,
ATQASUK.AD.RH,SV_IN_F,first seed development (individual),individual,,FFR,Fruit,
ATQASUK.AD.RH,SV_TP,first seed development (total plot),plot,min,FFR,Fruit,
ATQASUK.AD.RH,SV_TP_F,first seed development (plot),plot,min,FFR,Fruit,
ATQASUK.AW.RH,Bu_IN,flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AW.RH,Bu_IN_F,female flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AW.RH,Bu_IN_M,male flower bud visible (individual plant),individual,,FF,Flower,
ATQASUK.AW.RH,Bu_TP,flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AW.RH,Bu_TP_F,female flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AW.RH,Bu_TP_M,male flower bud visible (total plot),plot,min,FF,Flower,
ATQASUK.AW.RH,Fl_IN,flower open (individual); anthers visible if graminoid,individual,,FO,Flower,
ATQASUK.AW.RH,Fl_IN_F,female flower open (individual),individual,,FO,Flower,
ATQASUK.AW.RH,Fl_IN_M,male flower open (individual),individual,,FO,Flower,
ATQASUK.AW.RH,Fl_TP,flower open (plot); anthers visible if graminoid,plot,min,FO,Flower,
ATQASUK.AW.RH,Fl_TP_F,female flower open (plot),plot,min,FO,Flower,
ATQASUK.AW.RH,Fl_TP_M,male flower open (plot),plot,min,FO,Flower,
ATQASUK.AW.RH,FW_IN,first flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AW.RH,FW_IN_F,first female flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AW.RH,FW_IN_M,first male flower withering (individual),individual,,FPE,FlowerEnd,
ATQASUK.AW.RH,FW_TP,first flower withering (total plot),plot,min,FPE,FlowerEnd,
ATQASUK.AW.RH,FW_TP_F,first female flower withering (total plot),plot,,FPE,FlowerEnd,
ATQASUK.AW.RH,FW_TP_M,first male flower withering (total plot),plot,,FPE,FlowerEnd,
ATQASUK.AW.RH,In_IN,Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AW.RH,In_IN_F,Female Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AW.RH,In_IN_M,Male Inflorescence emergence(individual plant),individual,,FIN,Flower,
ATQASUK.AW.RH,In_TP,Inflorescence emergence (total plot first),plot,min,FIN,Flower,
ATQASUK.AW.RH,In_TP_F,Female Inflorescence emergence(total plot),plot,min,FIN,Flower,
ATQASUK.AW.RH,In_TP_M,Male Inflorescence emergence(total plot),plot,min,FIN,Flower,
ATQASUK.AW.RH,Le_IN,Leaf bud burst (individual plant),individual,,FL,Green,
ATQASUK.AW.RH,Le_IN_F,Female plant Leaf bud burst (individual first),individual,NA,FL,Green,
ATQASUK.AW.RH,Le_IN_M,Male plant Leaf bud burst (individual first),individual,NA,FL,Green,
ATQASUK.AW.RH,Le_TP,Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AW.RH,Le_TP_F,Female plant Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AW.RH,Le_TP_M,Male plant Leaf bud burst (total plot first),plot,min,FL,Green,
ATQASUK.AW.RH,LW_IN,first visible Leaf Senescence (individual),individual,min,FC,Senesce,
ATQASUK.AW.RH,LW_IN_F,first visible Leaf Senescence (individual female),individual,,FC,Senesce,
ATQASUK.AW.RH,LW_IN_M,first visible Leaf Senescence (individual male),individual,,FC,Senesce,
ATQASUK.AW.RH,LW_TP,first visible Leaf Senescence (plot),plot,min,FC,Senesce,
ATQASUK.AW.RH,LW_TP_F,first visible Leaf Senescence (total plot  female),plot,min,FC,Senesce,
ATQASUK.AW.RH,LW_TP_M,first visible Leaf Senescence (total plot  male),plot,min,FC,Senesce,
ATQASUK.AW.RH,SD_IN,first seed dispersal (individual),individual,,SD,Disperse,
ATQASUK.AW.RH,SD_IN_F,first seed dispersal (individual),individual,,SD,Disperse,
ATQASUK.AW.RH,SD_TP,first seed dispersal (total plot),plot,min,SD,Disperse,
ATQASUK.AW.RH,SD_TP_F,first seed dispersal (total plot),plot,min,SD,Disperse,
ATQASUK.AW.RH,St_IN,stigma visible,individual,,SV,Flower,
ATQASUK.AW.RH,St_IN_F,stigma visible,individual,,SV,Flower,
ATQASUK.AW.RH,St_TP,stigma visible,plot,min,SV,Flower,
ATQASUK.AW.RH,St_TP_F,stigma visible,plot,min,SV,Flower,
ATQASUK.AW.RH,SV_IN,first seed development (individual),individual,,FFR,Fruit,
ATQASUK.AW.RH,SV_IN_F,first seed development (individual),individual,,FFR,Fruit,
ATQASUK.AW.RH,SV_TP,first seed development (total plot),plot,min,FFR,Fruit,
ATQASUK.AW.RH,SV_TP_F,first seed development (plot),plot,min,FFR,Fruit,
BARROW.BD.RH,Bb_IN,Bulbil visible,individual,,BV,Fruit,
BARROW.BD.RH,Bb_TP,Bulbil visible,plot,min,BV,Fruit,
BARROW.BD.RH,Bu_IN,flower bud visible (individual plant),individual,,FF,Flower,
BARROW.BD.RH,Bu_IN_F,female flower bud visible (individual plant),individual,,FF,Flower,
BARROW.BD.RH,Bu_IN_M,male flower bud visible (individual plant),individual,,FF,Flower,
BARROW.BD.RH,Bu_TP,flower bud visible (total plot),plot,min,FF,Flower,
BARROW.BD.RH,Bu_TP_F,female flower bud visible (total plot),plot,min,FF,Flower,
BARROW.BD.RH,Bu_TP_M,male flower bud visible (total plot),plot,min,FF,Flower,
BARROW.BD.RH,Fl_IN,flower open (individual); anthers visible if graminoid,individual,,FO,Flower,
BARROW.BD.RH,Fl_IN_F,female flower open (individual),individual,,FO,Flower,
BARROW.BD.RH,Fl_IN_M,male flower open (individual),individual,,FO,Flower,
BARROW.BD.RH,Fl_TP,flower open (plot); anthers visible if graminoid,plot,min,FO,Flower,
BARROW.BD.RH,Fl_TP_F,female flower open (plot),plot,min,FO,Flower,
BARROW.BD.RH,Fl_TP_M,male flower open (plot),plot,min,FO,Flower,
BARROW.BD.RH,FW_IN,first flower withering (individual),individual,,FPE,FlowerEnd,
BARROW.BD.RH,FW_IN_F,first female flower withering (individual),individual,,FPE,FlowerEnd,
BARROW.BD.RH,FW_IN_M,first male flower withering (individual),individual,,FPE,FlowerEnd,
BARROW.BD.RH,FW_TP,first flower withering (total plot),plot,min,FPE,FlowerEnd,
BARROW.BD.RH,FW_TP_F,first female flower withering (total plot),plot,,FPE,FlowerEnd,
BARROW.BD.RH,FW_TP_M,first male flower withering (total plot),plot,,FPE,FlowerEnd,
BARROW.BD.RH,In_IN,Inflorescence emergence(individual plant),individual,,FIN,Flower,
BARROW.BD.RH,In_IN_F,Female Inflorescence emergence(individual plant),individual,,FIN,Flower,
BARROW.BD.RH,In_IN_M,Male Inflorescence emergence(individual plant),individual,,FIN,Flower,
BARROW.BD.RH,In_TP,Inflorescence emergence (total plot first),plot,min,FIN,Flower,
BARROW.BD.RH,In_TP_F,Female Inflorescence emergence(total plot),plot,min,FIN,Flower,
BARROW.BD.RH,In_TP_M,Male Inflorescence emergence(total plot),plot,min,FIN,Flower,
BARROW.BD.RH,Le_IN,Leaf bud burst (individual plant),individual,,FL,Green,
BARROW.BD.RH,Le_IN_F,Female plant Leaf bud burst (individual first),individual,NA,FL,Green,
BARROW.BD.RH,Le_IN_M,Male plant Leaf bud burst (individual first),individual,NA,FL,Green,
BARROW.BD.RH,Le_TP,Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BD.RH,Le_TP_F,Female plant Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BD.RH,Le_TP_M,Male plant Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BD.RH,LW_IN,first visible Leaf Senescence (individual),individual,min,FC,Senesce,
BARROW.BD.RH,LW_IN_F,first visible Leaf Senescence (individual female),individual,,FC,Senesce,
BARROW.BD.RH,LW_IN_M,first visible Leaf Senescence (individual male),individual,,FC,Senesce,
BARROW.BD.RH,LW_TP,first visible Leaf Senescence (plot),plot,min,FC,Senesce,
BARROW.BD.RH,LW_TP_F,first visible Leaf Senescence (total plot  female),plot,min,FC,Senesce,
BARROW.BD.RH,LW_TP_M,first visible Leaf Senescence (total plot  male),plot,min,FC,Senesce,
BARROW.BD.RH,SD_IN,first seed dispersal (individual),individual,,SD,Disperse,
BARROW.BD.RH,SD_IN_F,first seed dispersal (individual),individual,,SD,Disperse,
BARROW.BD.RH,SD_TP,first seed dispersal (total plot),plot,min,SD,Disperse,
BARROW.BD.RH,SD_TP_F,first seed dispersal (total plot),plot,min,SD,Disperse,
BARROW.BD.RH,St_IN,stigma visible,individual,,SV,Flower,
BARROW.BD.RH,St_IN_F,stigma visible,individual,,SV,Flower,
BARROW.BD.RH,St_TP,stigma visible,plot,min,SV,Flower,
BARROW.BD.RH,St_TP_F,stigma visible,plot,min,SV,Flower,
BARROW.BD.RH,SV_IN,first seed development (individual),individual,,FFR,Fruit,
BARROW.BD.RH,SV_IN_F,first seed development (individual),individual,,FFR,Fruit,
BARROW.BD.RH,SV_TP,first seed development (total plot),plot,min,FFR,Fruit,
BARROW.BD.RH,SV_TP_F,first seed development (total plot),plot,min,FFR,Fruit,
BARROW.BW.RH,Bb_IN,Bulbil visible,individual,,BV,Fruit,
BARROW.BW.RH,Bb_TP,Bulbil visible,plot,min,BV,Fruit,
BARROW.BW.RH,Bu_IN,flower bud visible (individual plant),individual,,FF,Flower,
BARROW.BW.RH,Bu_TP,flower bud visible (total plot),plot,min,FF,Flower,
BARROW.BW.RH,Fl_IN,flower open (individual); anthers visible if graminoid,individual,,FO,Flower,
BARROW.BW.RH,Fl_TP,flower open (plot); anthers visible if graminoid,plot,min,FO,Flower,
BARROW.BW.RH,Fl_TP_F,female flower open (plot),plot,min,FO,Flower,
BARROW.BW.RH,Fl_TP_M,male flower open (plot),plot,min,FO,Flower,
BARROW.BW.RH,FW_IN,first flower withering (individual),individual,,FPE,FlowerEnd,
BARROW.BW.RH,FW_TP,first flower withering (total plot),plot,min,FPE,FlowerEnd,
BARROW.BW.RH,FW_TP_F,first female flower withering (total plot),plot,,FPE,FlowerEnd,
BARROW.BW.RH,FW_TP_M,first male flower withering (total plot),plot,,FPE,FlowerEnd,
BARROW.BW.RH,In_IN,Inflorescence emergence(individual plant),individual,,FIN,Flower,
BARROW.BW.RH,In_TP,Inflorescence emergence (total plot first),plot,min,FIN,Flower,
BARROW.BW.RH,In_TP_F,Female Inflorescence emergence(total plot),plot,min,FIN,Flower,
BARROW.BW.RH,In_TP_M,Male Inflorescence emergence(total plot),plot,min,FIN,Flower,
BARROW.BW.RH,Le_IN,Leaf bud burst (individual plant),individual,,FL,Green,
BARROW.BW.RH,Le_TP,Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BW.RH,Le_TP_F,Female plant Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BW.RH,Le_TP_M,Male plant Leaf bud burst (total plot first),plot,min,FL,Green,
BARROW.BW.RH,LW_IN,first visible Leaf Senescence (individual),individual,min,FC,Senesce,
BARROW.BW.RH,LW_TP,first visible Leaf Senescence (plot),plot,min,FC,Senesce,
BARROW.BW.RH,LW_TP_F,first visible Leaf Senescence (total plot  female),plot,min,FC,Senesce,
BARROW.BW.RH,LW_TP_M,first visible Leaf Senescence (total plot  male),plot,min,FC,Senesce,
BARROW.BW.RH,SD_IN,first seed dispersal (individual),individual,,SD,Disperse,
BARROW.BW.RH,SD_TP,first seed dispersal (total plot),plot,min,SD,Disperse,
BARROW.BW.RH,SD_TP_F,first seed dispersal (total plot),plot,min,SD,Disperse,
BARROW.BW.RH,St_IN,stigma visible,individual,,SV,Flower,
BARROW.BW.RH,St_TP,stigma visible,plot,min,SV,Flower,
BARROW.BW.RH,St_TP_F,stigma visible,plot,min,SV,Flower,
BARROW.BW.RH,SV_IN,first seed development (individual),individual,,FFR,Fruit,
BARROW.BW.RH,SV_TP,first seed development (total plot),plot,min,FFR,Fruit,
BARROW.BW.RH,SV_TP_F,first seed development (plot),plot,min,FFR,Fruit,
BARROW.NEON.NSF,end of Initial growth,,individual,,EILS,Green,
BARROW.NEON.NSF,end of Leaves,,individual,,ALE,Senesce,
BARROW.NEON.NSF,end of Open flowers,,individual,,FPE,FlowerEnd,
BARROW.NEON.NSF,start of Initial growth,,individual,,FLB,Green,
BARROW.NEON.NSF,start of Leaves,,individual,,FLE,Green,
BARROW.NEON.NSF,start of Open flowers,,individual,,FO,Flower,
BARROW.NPN.ANWR,end of >=50% of leaves fallen (deciduous),,individual,,DECIDUOUSFALLENLEAVESOFOFEND,Senesce,cut this one? Redundant to next phenophase?
BARROW.NPN.ANWR,end of All leaves withered (herbaceous and grasses),,individual,,GRASSESANDHERBACEOUSWITHEREDLEAVESALLOFEND,Senesce,
BARROW.NPN.ANWR,end of Breaking leaf buds,,individual,,EBBK,Green,
BARROW.NPN.ANWR,end of Colored leaves,,individual,,LEAVESCOLOREDOFEND,Senesce,
BARROW.NPN.ANWR,end of Falling leaves,,individual,,LEAVESFALLINGOFEND,Senesce,
BARROW.NPN.ANWR,end of Flower heads (grasses/sedges),,individual,,FPE,FlowerEnd,
BARROW.NPN.ANWR,end of Flowers or flower buds,,individual,,LPE,FlowerEnd,
BARROW.NPN.ANWR,end of Fruits,,individual,,LFR,Fruit,
BARROW.NPN.ANWR,end of Increasing leaf size,,individual,,EILS,Green,
